path,class_name,label
data/sample/Potato___Late_blight/0441138d-5f9f-4ede-ab9a-49edabc605b3___RS_LB 4235.JPG,Potato___Late_blight,4
data/sample/Apple___Black_rot/0612c9fa-e647-4083-85e7-b1638452c24b___JR_FrgE.S 8771.JPG,Apple___Black_rot,1
data/sample/Apple___Black_rot/0cefbd12-c195-40cd-b2d1-be0f9ee550b4___JR_FrgE.S 8762.JPG,Apple___Black_rot,1
data/sample/Potato___Late_blight/0f50da52-cb4a-4391-982a-d6cf9c9d9917___RS_LB 2581.JPG,Potato___Late_blight,4
data/sample/Apple___Black_rot/032cf235-07ff-478f-b347-d55c07835bc5___JR_FrgE.S 8778.JPG,Apple___Black_rot,1
data/sample/Apple___Black_rot/1ce4ecdf-fe69-42df-a0dc-c90f5495e7a1___JR_FrgE.S 3041.JPG,Apple___Black_rot,1
data/sample/Apple___Apple_scab/0208f4eb-45a4-4399-904e-989ac2c6257c___FREC_Scab 3037.JPG,Apple___Apple_scab,0
data/sample/Potato___Early_blight/08cf1add-91f8-41ea-bc13-54e7d1cb6da0___RS_Early.B 6865.JPG,Potato___Early_blight,3
data/sample/Potato___Early_blight/0d987d4a-26bc-4f74-8a16-12f8969dfed8___RS_Early.B 7013.JPG,Potato___Early_blight,3
data/sample/Apple___healthy/09ad370f-ca6e-48fc-9b4b-990b0d9f6cd3___RS_HL 8135.JPG,Apple___healthy,2
data/sample/Potato___Late_blight/04bbcc55-93d3-4a19-9137-8de036a8a4db___RS_LB 2647.JPG,Potato___Late_blight,4
data/sample/Apple___Apple_scab/0b1e31fa-cbc0-41ed-9139-c794e6855e82___FREC_Scab 3089.JPG,Apple___Apple_scab,0
data/sample/Potato___Early_blight/0d2325ff-4e3e-44bf-9614-e5ad6c23fc16___RS_Early.B 6797.JPG,Potato___Early_blight,3
data/sample/Apple___Black_rot/0ce8b939-3bdf-4078-8715-c0cb48afb078___JR_FrgE.S 2777.JPG,Apple___Black_rot,1
data/sample/Potato___Early_blight/04c8e6b9-7710-4cdd-b259-2d78b15d1036___RS_Early.B 7066.JPG,Potato___Early_blight,3
data/sample/Potato___Early_blight/0f9c098f-a6df-4a73-8c14-8e7d4dbb1b0b___RS_Early.B 7991.JPG,Potato___Early_blight,3
data/sample/Potato___Late_blight/1650365d-437c-4d36-b110-113a88c1090a___RS_LB 5459.JPG,Potato___Late_blight,4
data/sample/Potato___healthy/2dee1571-ef6b-40ef-8c46-334e89aad3f1___RS_HL 1950.JPG,Potato___healthy,5
data/sample/Apple___healthy/0098dbd9-286a-4d6a-bf4b-5459d66f88c0___RS_HL 5776.JPG,Apple___healthy,2
data/sample/Potato___Early_blight/03b0d3c1-b5b0-48f4-98aa-f8904670290f___RS_Early.B 7051.JPG,Potato___Early_blight,3
data/sample/Potato___healthy/61b05f0a-14bc-4c8f-a256-57c8b8898d8c___RS_HL 1769.JPG,Potato___healthy,5
data/sample/Apple___Black_rot/1a899717-5445-4d2b-8035-91bc47780504___JR_FrgE.S 8806.JPG,Apple___Black_rot,1
data/sample/Potato___Late_blight/06554e38-28ce-429d-b8e9-520e61e3c58f___RS_LB 2692.JPG,Potato___Late_blight,4
data/sample/Potato___Early_blight/0ede4acd-3685-40d9-b52b-7b3cb6536fa8___RS_Early.B 7377.JPG,Potato___Early_blight,3
data/sample/Apple___Apple_scab/0672ab32-9fce-41f3-ae69-e39c48a0a292___FREC_Scab 3347.JPG,Apple___Apple_scab,0
data/sample/Potato___Early_blight/0182e991-97f0-4805-a1f7-6e1b4306d518___RS_Early.B 7015.JPG,Potato___Early_blight,3
data/sample/Potato___Late_blight/0051e5e8-d1c4-4a84-bf3a-a426cdad6285___RS_LB 4640.JPG,Potato___Late_blight,4
data/sample/Potato___Early_blight/034959c1-f1e8-4a79-a6d5-3c1d14efa2f3___RS_Early.B 7136.JPG,Potato___Early_blight,3
data/sample/Potato___Early_blight/0a6983a5-895e-4e68-9edb-88adf79211e9___RS_Early.B 9072.JPG,Potato___Early_blight,3
data/sample/Potato___healthy/3edf7c3f-73e0-439c-870d-76cfd7c3bc45___RS_HL 1859.JPG,Potato___healthy,5
data/sample/Apple___Black_rot/085625a8-236d-4f71-bd40-78e3e4f24eb0___JR_FrgE.S 2732.JPG,Apple___Black_rot,1
data/sample/Potato___healthy/38faf81d-c83b-42ca-b4c3-e3bbfa070589___RS_HL 1805.JPG,Potato___healthy,5
data/sample/Apple___Apple_scab/0261a6e4-21f8-481a-8827-b674e6955644___FREC_Scab 3055.JPG,Apple___Apple_scab,0
data/sample/Apple___Apple_scab/18ab74ed-8e95-4787-b2e1-1283594bd00b___FREC_Scab 3012.JPG,Apple___Apple_scab,0
data/sample/Apple___Apple_scab/0a769a71-052a-4f19-a4d8-b0f0cb75541c___FREC_Scab 3165.JPG,Apple___Apple_scab,0
data/sample/Apple___Apple_scab/1c10ab31-02b9-4008-b66f-9b44d8a9d323___FREC_Scab 3084.JPG,Apple___Apple_scab,0
data/sample/Potato___healthy/5a3fc4bb-a78c-4276-8934-f0b037ffb860___RS_HL 5412.JPG,Potato___healthy,5
data/sample/Apple___Apple_scab/01f3deaa-6143-4b6c-9c22-620a46d8be04___FREC_Scab 3112.JPG,Apple___Apple_scab,0
data/sample/Apple___healthy/07942abf-8326-4742-bcba-52ddba093974___RS_HL 5731.JPG,Apple___healthy,2
data/sample/Potato___healthy/170f1f57-0fd4-421f-9c82-3b1804be63ad___RS_HL 1771.JPG,Potato___healthy,5
data/sample/Potato___Late_blight/00b1f292-23dd-44d4-aad3-c1ffb6a6ad5a___RS_LB 4479.JPG,Potato___Late_blight,4
data/sample/Apple___healthy/0c83f4eb-4949-47c8-bf63-312d16e64913___RS_HL 7619.JPG,Apple___healthy,2
data/sample/Potato___Early_blight/0ad3ba53-f01b-403b-a99d-5991eed85045___RS_Early.B 7600.JPG,Potato___Early_blight,3
data/sample/Potato___Late_blight/0fe7786d-0e2f-4705-839d-898f1d9214b0___RS_LB 2836.JPG,Potato___Late_blight,4
data/sample/Apple___Black_rot/132a74c4-3bdc-410b-931d-887bac16b074___JR_FrgE.S 8705.JPG,Apple___Black_rot,1
data/sample/Apple___Black_rot/1b607e4f-ce59-4c0f-8e91-b529088926be___JR_FrgE.S 8788.JPG,Apple___Black_rot,1
data/sample/Apple___Apple_scab/1a21aabb-6f74-4644-8d9e-a517568b7e9c___FREC_Scab 3095.JPG,Apple___Apple_scab,0
data/sample/Potato___healthy/45bc0b37-ca59-4a89-8531-705af42a6fd5___RS_HL 1946.JPG,Potato___healthy,5
data/sample/Potato___Early_blight/107827b3-faa5-457c-97fd-3e34d2657f6b___RS_Early.B 7162.JPG,Potato___Early_blight,3
data/sample/Potato___Early_blight/048d18ae-98b1-484d-97da-5a0e69b9ebc1___RS_Early.B 6845.JPG,Potato___Early_blight,3
data/sample/Apple___Apple_scab/0b4a52e3-e15e-4117-b2e8-7cdb5dca3ce9___FREC_Scab 3137.JPG,Apple___Apple_scab,0
data/sample/Apple___healthy/0646a42e-9fdd-4914-9879-50843fe1ac6d___RS_HL 6111.JPG,Apple___healthy,2
data/sample/Potato___Early_blight/00d8f10f-5038-4e0f-bb58-0b885ddc0cc5___RS_Early.B 8722.JPG,Potato___Early_blight,3
data/sample/Apple___Apple_scab/03eccb1a-0368-4ac7-9f48-7546037b775a___FREC_Scab 3334.JPG,Apple___Apple_scab,0
data/sample/Potato___healthy/413bc2e9-eb2a-48fd-ba65-48b5121fd85c___RS_HL 4200.JPG,Potato___healthy,5
data/sample/Potato___healthy/58a98860-86d8-41e7-9f8c-cc2ca5e90012___RS_HL 1758.JPG,Potato___healthy,5
data/sample/Potato___Late_blight/146c4ea6-cf74-4607-9b8e-19c69c85ec86___RS_LB 4641.JPG,Potato___Late_blight,4
data/sample/Apple___Black_rot/0e84adc9-3e97-48e2-b1fd-7d04f9e92cb0___JR_FrgE.S 2949.JPG,Apple___Black_rot,1
data/sample/Apple___Apple_scab/14c623e5-051c-42f6-9e4f-f7a93e6a723c___FREC_Scab 2965.JPG,Apple___Apple_scab,0
data/sample/Potato___healthy/77c75478-e1f0-4aaa-9cbc-af1fed928a74___RS_HL 1748.JPG,Potato___healthy,5
data/sample/Potato___healthy/750584fd-72e0-45c8-b37c-97208bd559cc___RS_HL 1885.JPG,Potato___healthy,5
data/sample/Potato___Early_blight/0a8a68ee-f587-4dea-beec-79d02e7d3fa4___RS_Early.B 8461.JPG,Potato___Early_blight,3
data/sample/Apple___Black_rot/15f31b47-61da-4549-ad60-f13ef13a6512___JR_FrgE.S 8734.JPG,Apple___Black_rot,1
data/sample/Potato___healthy/111cd9d8-4d27-4225-be9e-d29b21cf56b9___RS_HL 5419.JPG,Potato___healthy,5
data/sample/Potato___healthy/414f6249-9f78-4af5-9593-9d5a7e7d979f___RS_HL 1918.JPG,Potato___healthy,5
data/sample/Potato___healthy/7e6c8297-dfe1-4826-826e-01d696cc263b___RS_HL 1863.JPG,Potato___healthy,5
data/sample/Apple___Black_rot/0bb8fb61-d561-43fd-89a3-d24d253adef9___JR_FrgE.S 2849.JPG,Apple___Black_rot,1
data/sample/Potato___Early_blight/08029ccc-387e-4be6-9389-04f7b82fdb2a___RS_Early.B 9130.JPG,Potato___Early_blight,3
data/sample/Apple___healthy/02847045-4405-467c-9ccb-7ba2ab1d574c___RS_HL 5943.JPG,Apple___healthy,2
data/sample/Apple___Black_rot/073553c2-0e42-4c86-b929-b2201f3f7756___JR_FrgE.S 2819.JPG,Apple___Black_rot,1
data/sample/Potato___Early_blight/044c3abc-0bc9-45fb-8fd5-094aeb605f90___RS_Early.B 8044.JPG,Potato___Early_blight,3
data/sample/Potato___Early_blight/12ebe6fe-c8ce-4a00-866f-8776aca75159___RS_Early.B 6873.JPG,Potato___Early_blight,3
data/sample/Apple___Black_rot/2101e5e6-2932-4ac0-8879-59885fc01256___JR_FrgE.S 2769.JPG,Apple___Black_rot,1
data/sample/Potato___Early_blight/096a2c48-104c-4570-9e34-8dd60aa5ebcf___RS_Early.B 6979.JPG,Potato___Early_blight,3
data/sample/Potato___healthy/5df30492-0b54-474d-8883-bba9474ca88f___RS_HL 1801.JPG,Potato___healthy,5
data/sample/Apple___Black_rot/079d0ba3-b207-4fc7-ace3-f2fe25c796b3___JR_FrgE.S 3038.JPG,Apple___Black_rot,1
data/sample/Potato___healthy/2e0b8b4b-e900-408b-b760-730690bbd382___RS_HL 1901.JPG,Potato___healthy,5
data/sample/Apple___Apple_scab/1547f817-6a4d-4cbc-8ce0-7dff293562ee___FREC_Scab 3194.JPG,Apple___Apple_scab,0
data/sample/Apple___Black_rot/1dfd4db7-a456-4785-bf16-f517bcaf54e8___JR_FrgE.S 3089.JPG,Apple___Black_rot,1
data/sample/Potato___Late_blight/09a30eff-d386-456d-a6ce-ead7c0d6235b___RS_LB 5068.JPG,Potato___Late_blight,4
data/sample/Potato___Late_blight/07fea080-7f6b-48e9-b6b5-10d7daf57610___RS_LB 3210.JPG,Potato___Late_blight,4
data/sample/Apple___Apple_scab/1bc60205-27cc-4d10-bc87-7e968573e5d5___FREC_Scab 3531.JPG,Apple___Apple_scab,0
data/sample/Potato___Late_blight/08ce9666-2dda-4fa8-8d58-55bb9fa19484___RS_LB 3318.JPG,Potato___Late_blight,4
data/sample/Apple___Black_rot/01e94c43-0879-4e8c-9b61-c48cfed88dab___JR_FrgE.S 3024.JPG,Apple___Black_rot,1
data/sample/Apple___healthy/0c056dd8-2040-48cf-a9a8-53d8ae5662d0___RS_HL 7987.JPG,Apple___healthy,2
data/sample/Potato___healthy/6f4b9acd-f34d-4771-a6bc-2001de2dd1d3___RS_HL 1898.JPG,Potato___healthy,5
data/sample/Potato___Early_blight/0a0744dc-8486-4fbb-a44b-4d63e6db6197___RS_Early.B 7575.JPG,Potato___Early_blight,3
data/sample/Apple___healthy/0a285c8b-1c31-48d4-89f2-af8b9edc36f6___RS_HL 5759.JPG,Apple___healthy,2
data/sample/Potato___Early_blight/0a47f32c-1724-4c8d-bfe4-986cedd3587b___RS_Early.B 8001.JPG,Potato___Early_blight,3
data/sample/Potato___Early_blight/06ac6596-8d65-46dd-a343-a2209f3480e4___RS_Early.B 6921.JPG,Potato___Early_blight,3
data/sample/Apple___healthy/023810b0-18e6-4352-9dfa-c2f4c034cda5___RS_HL 7538.JPG,Apple___healthy,2
data/sample/Apple___Apple_scab/1cb869ea-0a4c-47d7-9def-a88c16b72ddc___FREC_Scab 3350.JPG,Apple___Apple_scab,0
data/sample/Potato___healthy/4a08efaa-28cc-4356-8769-4002f4b299ef___RS_HL 1850.JPG,Potato___healthy,5
data/sample/Potato___Early_blight/0898bffc-57aa-4fdb-92d1-fd6a03d2a011___RS_Early.B 6946.JPG,Potato___Early_blight,3
data/sample/Potato___healthy/5e19b1f4-fd65-4c4d-bcd2-18c8c519eddb___RS_HL 1965.JPG,Potato___healthy,5
data/sample/Apple___Black_rot/125fd81c-7948-45e1-8550-f7c7b8f6932a___JR_FrgE.S 8807.JPG,Apple___Black_rot,1
data/sample/Apple___Apple_scab/06cf74b6-d895-4a09-b3b1-bc63579f8c33___FREC_Scab 3128.JPG,Apple___Apple_scab,0
data/sample/Apple___Apple_scab/0cbfa4fa-63d8-43ce-9385-ff140e524b69___FREC_Scab 3164.JPG,Apple___Apple_scab,0
data/sample/Apple___healthy/022b515d-41fd-448e-abac-e8722c32d864___RS_HL 8131.JPG,Apple___healthy,2
data/sample/Apple___healthy/08da0395-feee-4f66-b88b-2fa171d9521d___RS_HL 7779.JPG,Apple___healthy,2
data/sample/Apple___Apple_scab/1f98b949-4df2-45cf-8572-3b4a753be21a___FREC_Scab 2907.JPG,Apple___Apple_scab,0
data/sample/Potato___healthy/2d98cbc8-cbe6-423c-b2ab-3f7f8bcea5d5___RS_HL 1945.JPG,Potato___healthy,5
data/sample/Potato___Early_blight/12a7bc09-8d7f-4790-8046-6e3f12f71399___RS_Early.B 7973.JPG,Potato___Early_blight,3
data/sample/Apple___Apple_scab/0812e1e4-6d1b-4264-8f23-6519354fc5a6___FREC_Scab 3293.JPG,Apple___Apple_scab,0
data/sample/Potato___Early_blight/11e974fa-928f-45f6-b983-e74c74c7d163___RS_Early.B 7992.JPG,Potato___Early_blight,3
data/sample/Potato___healthy/774875d3-438a-4305-afe2-7d59e2925dc4___RS_HL 1759.JPG,Potato___healthy,5
data/sample/Potato___healthy/7e7b6ab4-9adb-4a3b-abfb-8716b0039879___RS_HL 1921.JPG,Potato___healthy,5
data/sample/Potato___Early_blight/12429fa8-02ea-4017-88ef-b2d219b892f7___RS_Early.B 6916.JPG,Potato___Early_blight,3
data/sample/Apple___healthy/079543ef-5ba8-46ad-95de-7c006c7e7f36___RS_HL 7570.JPG,Apple___healthy,2
data/sample/Potato___healthy/46b2555a-c0a6-48c2-af13-0816e147e4de___RS_HL 1943.JPG,Potato___healthy,5
data/sample/Apple___Apple_scab/0d3c0790-7833-470b-ac6e-94d0a3bf3e7c___FREC_Scab 2959.JPG,Apple___Apple_scab,0
data/sample/Apple___Black_rot/169b07da-12eb-4a6d-9b24-f37692ca923d___JR_FrgE.S 8636.JPG,Apple___Black_rot,1
data/sample/Potato___Late_blight/051089cf-e083-4fdb-9256-aac12b8a55d2___RS_LB 4078.JPG,Potato___Late_blight,4
data/sample/Apple___Black_rot/0ebea6f4-08e4-4380-86f8-34d854697e32___JR_FrgE.S 2877.JPG,Apple___Black_rot,1
data/sample/Potato___healthy/71c06efe-089f-49b3-beed-095bd7640e32___RS_HL 1947.JPG,Potato___healthy,5
data/sample/Apple___healthy/0c55b379-c6e7-4b89-959f-abc506fed437___RS_HL 5927.JPG,Apple___healthy,2
data/sample/Apple___Apple_scab/12bc3d5c-2409-426e-b6cb-a08cbf488153___FREC_Scab 3154.JPG,Apple___Apple_scab,0
data/sample/Apple___healthy/04032305-5ca9-4110-b517-461f13c95f18___RS_HL 7446.JPG,Apple___healthy,2
data/sample/Potato___Early_blight/0a79700b-f834-41f5-ae51-6ceda6f67a48___RS_Early.B 8951.JPG,Potato___Early_blight,3
data/sample/Potato___Late_blight/0f824e18-3821-486c-81a1-f1f64cf6e767___RS_LB 4894.JPG,Potato___Late_blight,4
data/sample/Potato___healthy/7948ada9-eabc-4cb7-a579-b73e938eb716___RS_HL 4185.JPG,Potato___healthy,5
data/sample/Potato___Late_blight/02282fee-ba3f-460e-91e0-630204ab96c2___RS_LB 5031.JPG,Potato___Late_blight,4
data/sample/Apple___Black_rot/03fd7154-2e33-4fb6-999d-bfc3a3f467fe___JR_FrgE.S 8681.JPG,Apple___Black_rot,1
data/sample/Apple___Black_rot/04e74a0c-bda4-4e06-aeab-ec24b1007994___JR_FrgE.S 8782.JPG,Apple___Black_rot,1
data/sample/Apple___Apple_scab/0a6812de-7416-4ffe-aba9-307599a02c84___FREC_Scab 2973.JPG,Apple___Apple_scab,0
data/sample/Potato___Late_blight/1338edcb-9e0e-458c-845e-206b869f9199___RS_LB 3205.JPG,Potato___Late_blight,4
data/sample/Apple___Apple_scab/095c9131-a0cb-47de-898a-f9371f208c01___FREC_Scab 3109.JPG,Apple___Apple_scab,0
data/sample/Apple___Apple_scab/13b16e68-c82c-4de8-ab34-877ff352e821___FREC_Scab 3180.JPG,Apple___Apple_scab,0
data/sample/Potato___Late_blight/12ce2ab1-14c4-4960-81d4-e6ae776510e9___RS_LB 2880.JPG,Potato___Late_blight,4
data/sample/Potato___Late_blight/12d72127-7880-4481-b3c6-caff04116a86___RS_LB 2632.JPG,Potato___Late_blight,4
data/sample/Potato___Late_blight/073a7489-b8dd-4efc-8393-7f024fe8542a___RS_LB 2617.JPG,Potato___Late_blight,4
data/sample/Potato___healthy/163ada72-4288-4f85-a3c1-feed23c8d1de___RS_HL 1940.JPG,Potato___healthy,5
data/sample/Apple___Apple_scab/176a93ed-6c2d-4828-ada1-87f1688b509b___FREC_Scab 3083.JPG,Apple___Apple_scab,0
data/sample/Potato___Early_blight/0f223bbc-d2b4-4d58-8314-359d92d0102b___RS_Early.B 8052.JPG,Potato___Early_blight,3
data/sample/Potato___Late_blight/031672c9-bf0a-46bf-8b52-d7cdc067612e___RS_LB 5019.JPG,Potato___Late_blight,4
data/sample/Apple___Black_rot/24420d48-c47b-4e67-959a-bf28131abbdc___JR_FrgE.S 2811.JPG,Apple___Black_rot,1
data/sample/Potato___Late_blight/04fe5855-ec9c-40b3-9893-ca8addc236bd___RS_LB 4913.JPG,Potato___Late_blight,4
data/sample/Apple___Black_rot/0b37761a-de32-47ee-a3a4-e138b97ef542___JR_FrgE.S 2908.JPG,Apple___Black_rot,1
data/sample/Potato___Early_blight/08194ca3-f0b2-4aaa-8df8-5ec5ddc6696a___RS_Early.B 8151.JPG,Potato___Early_blight,3
data/sample/Apple___Apple_scab/09e40e4f-f8bc-4537-b20d-0b244760dbf4___FREC_Scab 3216.JPG,Apple___Apple_scab,0
data/sample/Apple___Apple_scab/1d9d67e2-5603-4710-ae2b-6cb0b922ae61___FREC_Scab 3122.JPG,Apple___Apple_scab,0
data/sample/Potato___Late_blight/0396e413-e165-427a-ba72-04cbae7b8ab0___RS_LB 4751.JPG,Potato___Late_blight,4
data/sample/Potato___Early_blight/0c4f6f72-c7a2-42e1-9671-41ab3bf37fe7___RS_Early.B 6752.JPG,Potato___Early_blight,3
data/sample/Potato___Late_blight/0085ef03-aec3-431a-99a1-de286e10c0cf___RS_LB 2949.JPG,Potato___Late_blight,4
data/sample/Apple___Apple_scab/0b170906-9436-4c0d-84c1-c396ad9d909b___FREC_Scab 3101.JPG,Apple___Apple_scab,0
data/sample/Apple___healthy/0055dd26-23a7-4415-ac61-e0b44ebfaf80___RS_HL 5672.JPG,Apple___healthy,2
data/sample/Potato___Early_blight/1082eee1-189d-4e0f-96b5-8b1393be4c4c___RS_Early.B 8743.JPG,Potato___Early_blight,3
data/sample/Apple___Apple_scab/1b1004c8-99e9-4c85-8fe5-b1c11d558cf8___FREC_Scab 3300.JPG,Apple___Apple_scab,0
data/sample/Apple___healthy/076255ae-2574-415a-b9db-feb739266656___RS_HL 7540.JPG,Apple___healthy,2
data/sample/Potato___Late_blight/08ddae0c-5328-4183-b16e-c980f197e471___RS_LB 2845.JPG,Potato___Late_blight,4
data/sample/Potato___Late_blight/140cad58-de9c-44b8-afb4-af5751e2e012___RS_LB 3247.JPG,Potato___Late_blight,4
data/sample/Potato___healthy/30126310-39de-4c02-b10a-23409417a4f6___RS_HL 1826.JPG,Potato___healthy,5
data/sample/Apple___Black_rot/076d95c0-1ca7-4ee8-9558-0f18e617813d___JR_FrgE.S 2737.JPG,Apple___Black_rot,1
data/sample/Potato___Early_blight/0caf6a39-3f5f-4201-a4d7-3ea35fdf1303___RS_Early.B 6762.JPG,Potato___Early_blight,3
data/sample/Potato___Late_blight/025f3c76-6d6c-4dad-ba22-e3e72d084ef1___RS_LB 3105.JPG,Potato___Late_blight,4
data/sample/Potato___Early_blight/0d9dbf50-53a9-42b2-8b29-0360fb7dbd98___RS_Early.B 6692.JPG,Potato___Early_blight,3
data/sample/Potato___Late_blight/0acdc2b2-0dde-4073-8542-6fca275ab974___RS_LB 4857.JPG,Potato___Late_blight,4
data/sample/Potato___Late_blight/0e068694-63b7-4edf-a93d-f2e9f28efaa6___RS_LB 3923.JPG,Potato___Late_blight,4
data/sample/Apple___Apple_scab/0db71c1d-93d7-4481-b0d0-b73f995131a9___FREC_Scab 2976.JPG,Apple___Apple_scab,0
data/sample/Apple___healthy/00907d8b-6ae6-4306-bfd7-d54471981a86___RS_HL 5709.JPG,Apple___healthy,2
data/sample/Potato___healthy/43fd6ace-3712-494a-9aba-de5482d22561___RS_HL 1968.JPG,Potato___healthy,5
data/sample/Apple___healthy/0c30f1f2-9eed-4861-bf66-eceae1b0b625___RS_HL 7430.JPG,Apple___healthy,2
data/sample/Apple___Black_rot/1d59f109-9793-403b-88d7-73bc3b17d601___JR_FrgE.S 8592.JPG,Apple___Black_rot,1
data/sample/Apple___healthy/03cb0cf0-04cf-4549-a2b8-44ed75b2e56c___RS_HL 7460.JPG,Apple___healthy,2
data/sample/Potato___healthy/144d2475-21ab-4bdc-a67c-9672a9b711e6___RS_HL 5376.JPG,Potato___healthy,5
data/sample/Apple___healthy/03152113-855b-4eab-8a4f-7d78d92240d0___RS_HL 5838.JPG,Apple___healthy,2
data/sample/Apple___Black_rot/05421496-3901-424d-b44a-1be1f2734cf1___JR_FrgE.S 3005.JPG,Apple___Black_rot,1
data/sample/Apple___healthy/041482f6-6dd6-4ac9-9e59-e973c9bcaf6d___RS_HL 8155.JPG,Apple___healthy,2
data/sample/Apple___healthy/0199bffc-baee-499f-8e03-5dadb8b671be___RS_HL 8042.JPG,Apple___healthy,2
data/sample/Potato___Early_blight/096f6928-24dd-4efd-acc6-b8246318676c___RS_Early.B 8970.JPG,Potato___Early_blight,3
data/sample/Potato___healthy/23f4d3b1-23f4-43fb-96c2-dae37224ec74___RS_HL 1803.JPG,Potato___healthy,5
data/sample/Apple___Black_rot/05fb01a0-fd64-4b3d-a512-c0bda181811e___JR_FrgE.S 2889.JPG,Apple___Black_rot,1
data/sample/Apple___Apple_scab/0a14783a-838a-4d4f-a671-ff98011714c6___FREC_Scab 3288.JPG,Apple___Apple_scab,0
data/sample/Apple___Black_rot/1cdac481-1275-4228-a2ca-e3deaf268ffc___JR_FrgE.S 2897.JPG,Apple___Black_rot,1
data/sample/Apple___Black_rot/09baab32-8360-4251-9c84-a5ce6bfdfff1___JR_FrgE.S 2883.JPG,Apple___Black_rot,1
data/sample/Apple___Apple_scab/0c620ec5-11cf-4120-94ab-1311e99df147___FREC_Scab 3131.JPG,Apple___Apple_scab,0
data/sample/Apple___healthy/02720439-ecbd-4c7a-9382-4c8156b6f15b___RS_HL 5918.JPG,Apple___healthy,2
data/sample/Apple___Apple_scab/0ea78733-9404-4536-8793-a108c66269b3___FREC_Scab 3145.JPG,Apple___Apple_scab,0
data/sample/Apple___Black_rot/1a9f6dfb-fdf4-43b4-9fb4-b7a809b49b9d___JR_FrgE.S 2765.JPG,Apple___Black_rot,1
data/sample/Potato___healthy/0b3e5032-8ae8-49ac-8157-a1cac3df01dd___RS_HL 1817.JPG,Potato___healthy,5
data/sample/Apple___healthy/0b6ec66f-fe63-4eef-8068-cf8ed0baf0de___RS_HL 7482.JPG,Apple___healthy,2
data/sample/Apple___Apple_scab/13f31401-f65a-4025-823a-4f2738e8bff9___FREC_Scab 3062.JPG,Apple___Apple_scab,0
